strength_level,sex,apply_lca,rate,overall_fnr,overall_auroc,female_fnr,female_auroc,male_fnr,male_auroc
6,F,no_lca,1.0,0.597,0.647,1.0,0.766,0.321,0.772
6,F,lca,0.0,0.335,0.771,0.308,0.772,0.353,0.772
6,F,lca,0.05,0.338,0.771,0.318,0.773,0.353,0.772
6,F,lca,0.1,0.335,0.772,0.308,0.772,0.353,0.772
6,F,lca,0.25,0.35,0.772,0.346,0.773,0.353,0.771
6,F,lca,0.5,0.354,0.773,0.346,0.773,0.359,0.772
6,F,lca,0.75,0.369,0.773,0.374,0.773,0.365,0.773
6,F,lca,1.0,0.38,0.774,0.393,0.773,0.372,0.774
8,M,no_lca,0.0,0.327,0.771,0.262,0.777,0.372,0.769
8,M,no_lca,0.05,0.327,0.764,0.29,0.763,0.353,0.767
8,M,no_lca,0.1,0.354,0.764,0.318,0.759,0.378,0.77
8,M,no_lca,0.25,0.502,0.746,0.364,0.751,0.596,0.761
8,M,no_lca,0.5,0.631,0.699,0.374,0.72,0.808,0.751
8,M,no_lca,0.75,0.749,0.656,0.421,0.707,0.974,0.743
8,M,no_lca,1.0,0.764,0.595,0.439,0.663,0.987,0.681
8,M,lca,0.0,0.319,0.765,0.318,0.763,0.321,0.767
8,M,lca,0.05,0.319,0.765,0.318,0.762,0.321,0.767
8,M,lca,0.1,0.323,0.765,0.318,0.762,0.327,0.767
8,M,lca,0.25,0.327,0.764,0.318,0.762,0.333,0.766
8,M,lca,0.5,0.331,0.762,0.308,0.76,0.346,0.765
8,M,lca,0.75,0.346,0.762,0.327,0.761,0.359,0.765
8,M,lca,1.0,0.376,0.76,0.327,0.762,0.41,0.762
8,F,no_lca,0.0,0.319,0.767,0.327,0.769,0.314,0.766
8,F,no_lca,0.05,0.342,0.774,0.299,0.778,0.372,0.772
8,F,no_lca,0.1,0.354,0.777,0.355,0.778,0.353,0.776
8,F,no_lca,0.25,0.403,0.77,0.458,0.782,0.365,0.764
8,F,no_lca,0.5,0.513,0.746,0.729,0.775,0.365,0.766
8,F,no_lca,0.75,0.586,0.705,0.888,0.768,0.378,0.766
8,F,no_lca,1.0,0.597,0.647,1.0,0.766,0.321,0.772
8,F,lca,0.0,0.335,0.771,0.308,0.771,0.353,0.772
8,F,lca,0.05,0.338,0.771,0.318,0.772,0.353,0.772
8,F,lca,0.1,0.342,0.772,0.327,0.771,0.353,0.773
8,F,lca,0.25,0.342,0.772,0.327,0.772,0.353,0.772
8,F,lca,0.5,0.357,0.773,0.355,0.772,0.359,0.772
8,F,lca,0.75,0.357,0.773,0.355,0.772,0.359,0.773
8,F,lca,1.0,0.373,0.774,0.374,0.772,0.372,0.774
